Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1972-12-01 00:00;1973-01-01 00:00;dec-72;3.9;Y
1973-01-01 00:00;1973-02-01 00:00;jan-73;1.5;Y
1973-02-01 00:00;1973-03-01 00:00;feb-73;0.1;Y
1973-03-01 00:00;1973-04-01 00:00;mar-73;3.8;Y
1973-04-01 00:00;1973-05-01 00:00;apr-73;4.0;Y
1973-05-01 00:00;1973-06-01 00:00;maj-73;10.9;Y
1973-06-01 00:00;1973-07-01 00:00;jun-73;17.6;Y
1973-07-01 00:00;1973-08-01 00:00;jul-73;20.1;Y
1973-08-01 00:00;1973-09-01 00:00;aug-73;16.7;Y
1973-09-01 00:00;1973-10-01 00:00;sep-73;10.4;Y
1973-10-01 00:00;1973-11-01 00:00;okt-73;5.2;Y
1973-11-01 00:00;1973-12-01 00:00;nov-73;-0.1;Y
1973-12-01 00:00;1974-01-01 00:00;dec-73;-1.9;Y
1974-01-01 00:00;1974-02-01 00:00;jan-74;1.0;Y
1974-02-01 00:00;1974-03-01 00:00;feb-74;1.4;Y
1974-03-01 00:00;1974-04-01 00:00;mar-74;1.7;Y
1974-04-01 00:00;1974-05-01 00:00;apr-74;6.3;Y
1974-05-01 00:00;1974-06-01 00:00;maj-74;9.4;Y
1974-06-01 00:00;1974-07-01 00:00;jun-74;15.2;Y
1974-07-01 00:00;1974-08-01 00:00;jul-74;15.6;Y
1974-08-01 00:00;1974-09-01 00:00;aug-74;16.4;Y
1974-09-01 00:00;1974-10-01 00:00;sep-74;13.3;Y
1974-10-01 00:00;1974-11-01 00:00;okt-74;6.0;Y
1974-11-01 00:00;1974-12-01 00:00;nov-74;3.8;Y
1974-12-01 00:00;1975-01-01 00:00;dec-74;1.8;Y
1975-01-01 00:00;1975-02-01 00:00;jan-75;1.9;Y
1975-02-01 00:00;1975-03-01 00:00;feb-75;-0.3;Y
1975-03-01 00:00;1975-04-01 00:00;mar-75;1.8;Y
1975-04-01 00:00;1975-05-01 00:00;apr-75;4.7;Y
1975-05-01 00:00;1975-06-01 00:00;maj-75;11.6;Y
1975-06-01 00:00;1975-07-01 00:00;jun-75;15.2;Y
1975-07-01 00:00;1975-08-01 00:00;jul-75;19.4;Y
1975-08-01 00:00;1975-09-01 00:00;aug-75;19.6;Y
1975-09-01 00:00;1975-10-01 00:00;sep-75;14.2;Y
1975-10-01 00:00;1975-11-01 00:00;okt-75;7.8;Y
1975-11-01 00:00;1975-12-01 00:00;nov-75;3.8;Y
1975-12-01 00:00;1976-01-01 00:00;dec-75;1.3;Y
1976-01-01 00:00;1976-02-01 00:00;jan-76;-4.3;Y
1976-02-01 00:00;1976-03-01 00:00;feb-76;-1.2;Y
1976-03-01 00:00;1976-04-01 00:00;mar-76;-2.0;Y
1976-04-01 00:00;1976-05-01 00:00;apr-76;4.3;Y
1976-05-01 00:00;1976-06-01 00:00;maj-76;10.9;Y
1976-06-01 00:00;1976-07-01 00:00;jun-76;14.9;Y
1976-07-01 00:00;1976-08-01 00:00;jul-76;17.6;Y
1976-08-01 00:00;1976-09-01 00:00;aug-76;17.2;Y
1976-09-01 00:00;1976-10-01 00:00;sep-76;10.4;Y
