Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1968-09-01 00:00;1968-10-01 00:00;sep-68;14.2;Y
1968-10-01 00:00;1968-11-01 00:00;okt-68;8.8;Y
1968-11-01 00:00;1968-12-01 00:00;nov-68;2.8;Y
1968-12-01 00:00;1969-01-01 00:00;dec-68;0.3;Y
1969-01-01 00:00;1969-02-01 00:00;jan-69;-0.5;Y
1969-02-01 00:00;1969-03-01 00:00;feb-69;-3.8;Y
1969-03-01 00:00;1969-04-01 00:00;mar-69;-0.4;Y
1969-04-01 00:00;1969-05-01 00:00;apr-69;5.8;Y
1969-07-01 00:00;1969-08-01 00:00;jul-69;17.1;Y
1969-08-01 00:00;1969-09-01 00:00;aug-69;17.8;Y
1969-09-01 00:00;1969-10-01 00:00;sep-69;14.0;Y
1969-10-01 00:00;1969-11-01 00:00;okt-69;9.3;Y
1969-11-01 00:00;1969-12-01 00:00;nov-69;3.4;Y
1969-12-01 00:00;1970-01-01 00:00;dec-69;-2.6;Y
1970-01-01 00:00;1970-02-01 00:00;jan-70;-4.9;Y
1970-02-01 00:00;1970-03-01 00:00;feb-70;-6.9;Y
1970-03-01 00:00;1970-04-01 00:00;mar-70;-0.4;Y
1970-04-01 00:00;1970-05-01 00:00;apr-70;2.8;Y
1970-05-01 00:00;1970-06-01 00:00;maj-70;11.1;Y
1970-06-01 00:00;1970-07-01 00:00;jun-70;17.1;Y
1970-07-01 00:00;1970-08-01 00:00;jul-70;15.0;Y
1970-08-01 00:00;1970-09-01 00:00;aug-70;15.8;Y
1970-09-01 00:00;1970-10-01 00:00;sep-70;11.4;Y
1970-10-01 00:00;1970-11-01 00:00;okt-70;8.4;Y
1970-11-01 00:00;1970-12-01 00:00;nov-70;2.9;Y
1970-12-01 00:00;1971-01-01 00:00;dec-70;0.6;Y
1971-01-01 00:00;1971-02-01 00:00;jan-71;-0.2;Y
1971-02-01 00:00;1971-03-01 00:00;feb-71;0.8;Y
1971-03-01 00:00;1971-04-01 00:00;mar-71;-0.3;Y
1971-04-01 00:00;1971-05-01 00:00;apr-71;4.8;Y
1971-05-01 00:00;1971-06-01 00:00;maj-71;11.5;Y
1971-06-01 00:00;1971-07-01 00:00;jun-71;13.9;Y
1971-07-01 00:00;1971-08-01 00:00;jul-71;16.8;Y
1971-08-01 00:00;1971-09-01 00:00;aug-71;15.7;Y
1971-09-01 00:00;1971-10-01 00:00;sep-71;11.5;Y
1971-10-01 00:00;1971-11-01 00:00;okt-71;8.9;Y
1971-11-01 00:00;1971-12-01 00:00;nov-71;3.3;Y
1971-12-01 00:00;1972-01-01 00:00;dec-71;3.9;Y
1972-01-01 00:00;1972-02-01 00:00;jan-72;-3.6;Y
1972-02-01 00:00;1972-03-01 00:00;feb-72;0.1;Y
1972-03-01 00:00;1972-04-01 00:00;mar-72;2.5;Y
1972-05-01 00:00;1972-06-01 00:00;maj-72;12.1;Y
1972-06-01 00:00;1972-07-01 00:00;jun-72;15.1;Y
1972-07-01 00:00;1972-08-01 00:00;jul-72;18.6;Y
1972-08-01 00:00;1972-09-01 00:00;aug-72;16.2;Y
1972-09-01 00:00;1972-10-01 00:00;sep-72;11.3;Y
1972-10-01 00:00;1972-11-01 00:00;okt-72;8.5;Y
1972-11-01 00:00;1972-12-01 00:00;nov-72;5.6;Y
1972-12-01 00:00;1973-01-01 00:00;dec-72;4.6;Y
1973-01-01 00:00;1973-02-01 00:00;jan-73;1.2;Y
1973-02-01 00:00;1973-03-01 00:00;feb-73;2.5;Y
1973-03-01 00:00;1973-04-01 00:00;mar-73;5.2;Y
1973-04-01 00:00;1973-05-01 00:00;apr-73;5.4;Y
1973-05-01 00:00;1973-06-01 00:00;maj-73;11.3;Y
1973-06-01 00:00;1973-07-01 00:00;jun-73;16.0;Y
1973-07-01 00:00;1973-08-01 00:00;jul-73;19.0;Y
1973-08-01 00:00;1973-09-01 00:00;aug-73;16.2;Y
1973-09-01 00:00;1973-10-01 00:00;sep-73;12.6;Y
1973-10-01 00:00;1973-11-01 00:00;okt-73;6.3;Y
1973-11-01 00:00;1973-12-01 00:00;nov-73;2.3;Y
