Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1953-08-01 00:00;1953-09-01 00:00;aug-53;13.9;Y
1953-09-01 00:00;1953-10-01 00:00;sep-53;8.2;Y
1953-10-01 00:00;1953-11-01 00:00;okt-53;5.1;Y
1953-11-01 00:00;1953-12-01 00:00;nov-53;-0.3;Y
1953-12-01 00:00;1954-01-01 00:00;dec-53;-2.5;Y
1954-01-01 00:00;1954-02-01 00:00;jan-54;-8.2;Y
1954-02-01 00:00;1954-03-01 00:00;feb-54;-13.5;Y
1954-03-01 00:00;1954-04-01 00:00;mar-54;-3.5;Y
1954-04-01 00:00;1954-05-01 00:00;apr-54;-0.8;Y
1954-05-01 00:00;1954-06-01 00:00;maj-54;7.9;Y
1954-06-01 00:00;1954-07-01 00:00;jun-54;10.8;Y
1954-07-01 00:00;1954-08-01 00:00;jul-54;16.0;Y
1954-08-01 00:00;1954-09-01 00:00;aug-54;14.0;Y
1954-09-01 00:00;1954-10-01 00:00;sep-54;9.2;Y
1954-10-01 00:00;1954-11-01 00:00;okt-54;1.5;Y
1954-11-01 00:00;1954-12-01 00:00;nov-54;-3.4;Y
1954-12-01 00:00;1955-01-01 00:00;dec-54;-3.5;Y
1955-01-01 00:00;1955-02-01 00:00;jan-55;-11.8;Y
1955-02-01 00:00;1955-03-01 00:00;feb-55;-14.4;Y
1955-03-01 00:00;1955-04-01 00:00;mar-55;-7.5;Y
1955-04-01 00:00;1955-05-01 00:00;apr-55;-3.3;Y
1955-05-01 00:00;1955-06-01 00:00;maj-55;3.6;Y
1955-06-01 00:00;1955-07-01 00:00;jun-55;9.9;Y
1955-07-01 00:00;1955-08-01 00:00;jul-55;16.6;Y
1955-08-01 00:00;1955-09-01 00:00;aug-55;15.1;Y
1955-09-01 00:00;1955-10-01 00:00;sep-55;10.3;Y
1955-10-01 00:00;1955-11-01 00:00;okt-55;0.9;Y
1955-11-01 00:00;1955-12-01 00:00;nov-55;-6.7;Y
1955-12-01 00:00;1956-01-01 00:00;dec-55;-14.7;Y
1956-01-01 00:00;1956-02-01 00:00;jan-56;-13.2;Y
1956-02-01 00:00;1956-03-01 00:00;feb-56;-15.9;Y
1956-03-01 00:00;1956-04-01 00:00;mar-56;-7.0;Y
1956-04-01 00:00;1956-05-01 00:00;apr-56;-3.6;Y
1956-05-01 00:00;1956-06-01 00:00;maj-56;6.3;Y
1956-06-01 00:00;1956-07-01 00:00;jun-56;11.9;Y
1956-07-01 00:00;1956-08-01 00:00;jul-56;15.1;Y
1956-08-01 00:00;1956-09-01 00:00;aug-56;12.3;Y
1956-09-01 00:00;1956-10-01 00:00;sep-56;8.1;Y
1956-10-01 00:00;1956-11-01 00:00;okt-56;0.7;Y
1956-11-01 00:00;1956-12-01 00:00;nov-56;-9.4;Y
1956-12-01 00:00;1957-01-01 00:00;dec-56;-9.1;Y
1957-01-01 00:00;1957-02-01 00:00;jan-57;-6.7;Y
1957-02-01 00:00;1957-03-01 00:00;feb-57;-8.3;Y
1957-03-01 00:00;1957-04-01 00:00;mar-57;-8.0;Y
1957-04-01 00:00;1957-05-01 00:00;apr-57;-0.5;Y
1957-05-01 00:00;1957-06-01 00:00;maj-57;5.0;Y
1957-06-01 00:00;1957-07-01 00:00;jun-57;10.5;Y
1957-07-01 00:00;1957-08-01 00:00;jul-57;17.3;Y
1957-08-01 00:00;1957-09-01 00:00;aug-57;14.5;Y
1957-09-01 00:00;1957-10-01 00:00;sep-57;8.3;Y
1957-10-01 00:00;1957-11-01 00:00;okt-57;2.8;Y
1957-11-01 00:00;1957-12-01 00:00;nov-57;-1.1;Y
1957-12-01 00:00;1958-01-01 00:00;dec-57;-7.8;Y
1958-01-01 00:00;1958-02-01 00:00;jan-58;-13.2;Y
1958-02-01 00:00;1958-03-01 00:00;feb-58;-12.1;Y
1958-03-01 00:00;1958-04-01 00:00;mar-58;-8.2;Y
1958-04-01 00:00;1958-05-01 00:00;apr-58;-2.1;Y
1958-05-01 00:00;1958-06-01 00:00;maj-58;4.5;Y
1958-06-01 00:00;1958-07-01 00:00;jun-58;12.1;Y
1958-07-01 00:00;1958-08-01 00:00;jul-58;13.6;Y
1958-08-01 00:00;1958-09-01 00:00;aug-58;14.0;Y
1958-09-01 00:00;1958-10-01 00:00;sep-58;9.4;Y
1958-10-01 00:00;1958-11-01 00:00;okt-58;3.8;Y
1958-11-01 00:00;1958-12-01 00:00;nov-58;1.3;Y
1958-12-01 00:00;1959-01-01 00:00;dec-58;-11.8;Y
1959-01-01 00:00;1959-02-01 00:00;jan-59;-10.8;Y
1959-02-01 00:00;1959-03-01 00:00;feb-59;-2.9;Y
1959-03-01 00:00;1959-04-01 00:00;mar-59;-0.5;Y
1959-04-01 00:00;1959-05-01 00:00;apr-59;-0.5;Y
1959-05-01 00:00;1959-06-01 00:00;maj-59;7.0;Y
1959-06-01 00:00;1959-07-01 00:00;jun-59;12.3;Y
1959-07-01 00:00;1959-08-01 00:00;jul-59;15.7;Y
1959-08-01 00:00;1959-09-01 00:00;aug-59;14.2;Y
1959-09-01 00:00;1959-10-01 00:00;sep-59;8.2;Y
1959-10-01 00:00;1959-11-01 00:00;okt-59;3.1;Y
1959-11-01 00:00;1959-12-01 00:00;nov-59;-2.4;Y
1959-12-01 00:00;1960-01-01 00:00;dec-59;-6.6;Y
1960-01-01 00:00;1960-02-01 00:00;jan-60;-13.7;Y
1960-02-01 00:00;1960-03-01 00:00;feb-60;-12.2;Y
1960-03-01 00:00;1960-04-01 00:00;mar-60;-5.7;Y
1960-04-01 00:00;1960-05-01 00:00;apr-60;0.1;Y
1960-05-01 00:00;1960-06-01 00:00;maj-60;9.2;Y
1960-06-01 00:00;1960-07-01 00:00;jun-60;14.3;Y
1960-07-01 00:00;1960-08-01 00:00;jul-60;17.2;Y
1960-08-01 00:00;1960-09-01 00:00;aug-60;15.0;Y
